	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj																																
TIGR02348	185.0757059	0.327220545	0.424031573	0.771689105	0.440298585	0.999533006	Protein fate	Protein folding and stabilization	GroEL	chaperonin GroL	groL	NA	"This family consists of GroEL, the larger subunit of the GroEL/GroES cytosolic chaperonin. It is found in bacteria, organelles derived from bacteria, and occasionally in the Archaea. The bacterial GroEL/GroES group I chaperonin is replaced a group II chaperonin, usually called the thermosome in the Archaeota and CCT (chaperone-containing TCP) in the Eukaryota. GroEL, thermosome subunits, and CCT subunits all fall under the scope of Pfam model PF00118."																									
TIGR02350	113.2984948	0.561050957	0.50773148	1.105015109	0.269153042	0.999533006	Protein fate	Protein folding and stabilization	prok_dnaK	chaperone protein DnaK	dnaK	NA	"Members of this family are the chaperone DnaK, of the DnaK-DnaJ-GrpE chaperone system. All members of the seed alignment were taken from completely sequenced bacterial or archaeal genomes and (except for Mycoplasma sequence) found clustered with other genes of this systems. This model excludes DnaK homologs that are not DnaK itself, such as the heat shock cognate protein HscA (TIGR01991). However, it is not designed to distinguish among DnaK paralogs in eukaryotes. Note that a number of dnaK genes have shadow ORFs in the same reverse (relative to dnaK) reading frame, a few of which have been assigned glutamate dehydrogenase activity. The significance of this observation is unclear; lengths of such shadow ORFs are highly variable as if the presumptive protein product is not conserved."																									
TIGR00485	126.1008895	-0.115352122	0.561292532	-0.205511593	0.837172442	0.999533006	Protein synthesis	Translation factors	EF-Tu	translation elongation factor TU	tuf	NA	"This HMM models orthologs of translation elongation factor EF-Tu in bacteria, mitochondria, and chloroplasts, one of several GTP-binding translation factors found by the more general pfam HMM GTP_EFTU. The eukaryotic conterpart, eukaryotic translation elongation factor 1 (eEF-1 alpha), is excluded from this model. EF-Tu is one of the most abundant proteins in bacteria, as well as one of the most highly conserved, and in a number of species the gene is duplicated with identical function. When bound to GTP, EF-Tu can form a complex with any (correctly) aminoacylated tRNA except those for initiation and for selenocysteine, in which case EF-Tu is replaced by other factors. Transfer RNA is carried to the ribosome in these complexes for protein translation."																									
TIGR03346	143.0044596	-0.681895257	0.496692143	-1.372873051	0.169791816	0.999533006	Protein fate	Protein folding and stabilization	chaperone_ClpB	ATP-dependent chaperone ClpB	clpB	NA	"Members of this protein family are the bacterial ATP-dependent chaperone ClpB. This protein belongs to the AAA family, ATPases associated with various cellular activities (PF00004). This molecular chaperone does not act as a protease, but rather serves to disaggregate misfolded and aggregated proteins."																									
TIGR02381	121.7292892	0.023340712	0.564468829	0.041349868	0.967016978	0.999533006	DNA metabolism	"DNA replication, recombination, and repair"	cspD	cold shock domain protein CspD	cspD	NA	"This HMM represents what appears to be a phylogenetically distinct clade, containing E. coli CspD (SP|P24245) and related proteobacterial proteins within the larger family of cold shock domain proteins described by Pfam HMM PF00313. The gene symbol cspD may have been used idependently for other subfamilies of cold shock domain proteins, such as for B. subtilis CspD. These proteins typically are shorter than 70 amino acids. In E. coli, CspD is a stress response protein induced in stationary phase. This homodimer binds single-stranded DNA and appears to inhibit DNA replication [1]."																									
TIGR00484	94.203069	-0.724692185	0.590620978	-1.227000415	0.219822435	0.999533006	Protein synthesis	Translation factors	EF-G	translation elongation factor EF-G	fusA	NA	"After peptide bond formation, this elongation factor of bacteria and organelles catalyzes the translocation of the tRNA-mRNA complex, with its attached nascent polypeptide chain, from the A-site to the P-site of the ribosome. Every completed bacterial genome has at least one copy, but some species have additional EF-G-like proteins. The closest homolog to canonical (e.g. E. coli) EF-G in the spirochetes clusters as if it is derived from mitochondrial forms, while a more distant second copy is also present. Synechocystis PCC6803 has a few proteins more closely related to EF-G than to any other characterized protein. Two of these resemble E. coli EF-G more closely than does the best match from the spirochetes; it may be that both function as authentic EF-G."																									
TIGR01991	48.82564082	0.52765737	0.657357842	0.802694265	0.422151469	0.999533006	Protein fate	Protein folding and stabilization	HscA	Fe-S protein assembly chaperone HscA	hscA	NA	The Heat Shock Cognate proteins HscA and HscB act together as chaperones. HscA resembles DnaK but belongs in a separate clade. The apparent function is to aid assembly of iron-sulfur cluster proteins. Homologs from Buchnera and Wolbachia are clearly in the same clade but are highly derived and score lower than some examples of DnaK.																									
TIGR02013	131.5909367	-1.067104505	0.547400768	-1.949402644	0.051247359	0.999533006	Transcription	DNA-dependent RNA polymerase	rpoB	"DNA-directed RNA polymerase, beta subunit"	rpoB	2.7.7.6	"This model describes orthologs of the beta subunit of Bacterial RNA polymerase. The core enzyme consists of two alpha chains, one beta chain, and one beta subunit.
DR"																									
TIGR02639	102.8364707	-0.838518362	0.566220569	-1.480904099	0.138632131	0.999533006	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	ClpA	ATP-dependent Clp protease ATP-binding subunit clpA	clpA	NA	NA																									
TIGR03345	85.60824007	-1.117109777	0.620856908	-1.799303129	0.071970743	0.999533006	Protein fate	Protein and peptide secretion and trafficking	VI_ClpV1	"type VI secretion ATPase, ClpV1 family"	clpV	NA	"Members of this protein family are homologs of ClpB, an ATPase associated with chaperone-related functions. These ClpB homologs, designated ClpV1, are a key component of the bacterial pathogenicity-associated type VI secretion system."																									
