gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj							
TIGR01345	59.25346992	2.908050241	0.435067036	6.68414291	2.32E-11	2.65E-08	Energy metabolism	TCA cycle	malate_syn_G	malate synthase G	glcB	2.3.3.9	"This HMM describes the G isozyme of malate synthase. Isocitrate synthase and malate synthase form the glyoxylate shunt, which generates additional TCA cycle intermediates."
TIGR00117	77.72796027	3.619344622	0.558575097	6.479602543	9.20E-11	3.52E-08	Energy metabolism	TCA cycle	acnB	aconitate hydratase 2	acnB	4.2.1.3	"Aconitate hydratase (aconitase) is an enzyme of the TCA cycle. This model describes aconitase 2, AcnB, which has weak similarity to aconitase 1. It is found almost exclusively in the Proteobacteria."
TIGR01096	44.10522313	2.553205173	0.39410477	6.478493462	9.26E-11	3.52E-08	Transport and binding proteins	"Amino acids, peptides and amines"	3A0103s03R	lysine-arginine-ornithine-binding periplasmic protein	NA	NA	NA
TIGR00741	56.54290649	2.498885	0.401917782	6.217403437	5.05E-10	1.44E-07	Protein synthesis	Translation factors	yfiA	ribosomal subunit interface protein	raiA	NA	"This model includes a small protein encoded by one of two genes, both downstream of the gene rpoN for sigma 54, whose deletion leads to increased expression from sigma 54-dependent promoters. It also includes the N-terminal half of a light-repressed protein LtrA of Synechococcus PCC 7002 and the N-terminal region (after removal of the transit peptide) of a larger plastid-specific ribosomal protein of spinach. The member of this family from E. coli is now recognized as a protein at the interace between ribosomal large and small subunits, with about 1/3 as many copies per cell as the number of ribosomes."
TIGR02886	14.21489895	4.120612933	0.670136001	6.148920411	7.80E-10	1.78E-07	Cellular processes	Sporulation and germination	spore_II_AA	anti-sigma F factor antagonist	spoIIAA	NA	"The anti-sigma F factor antagonist, also called stage II sporulation protein AA, is a protein universal among endospore-forming bacteria, all of which belong to the Firmcutes"
TIGR03414	34.40595975	3.86859185	0.634813076	6.094064535	1.10E-09	2.09E-07	Transport and binding proteins	"Amino acids, peptides and amines"	ABC_choline_bnd	"choline ABC transporter, periplasmic binding protein"	choX	NA	"Partial phylogenetic profiling (PMID:16930487) vs. the genome property of glycine betaine biosynthesis from choline consistently reveals a member of this ABC transporter periplasmic binding protein as the best match, save for the betaine biosynthesis enzymes themselves. Genomes often carry several paralogs, one encoded together with the permease and ATP-binding components and another encoded next to a choline-sulfatase gene, suggesting that different members of this protein family interact with shared components and give some flexibility in substrate. Of two members from Sinorhizobium meliloti 1021, one designated ChoX has been shown experimentally to bind choline (though not various related compounds such as betaine) and to be required for about 60 % of choline uptake. Members of this protein have an invariant Cys residue near the N-terminus and likely are lipoproteins."
TIGR03417	33.23012973	4.3323553	0.72259253	5.995571665	2.03E-09	3.30E-07	NA	NA	chol_sulfatase	choline-sulfatase	betC	3.1.6.6	NA
TIGR01016	129.1560699	1.416500306	0.257495755	5.501062743	3.78E-08	5.38E-06	Energy metabolism	TCA cycle	sucCoAbeta	"succinyl-CoA synthetase, beta subunit"	sucC	6.2.1.-	"This model is designated subfamily because it does not discriminate the ADP-forming enzyme ((EC 6.2.1.5) from the GDP_forming (EC 6.2.1.4) enzyme. The N-terminal half is described by the CoA-ligases HMM (PF00549). The C-terminal half is described by the ATP-grasp HMM (PF02222). This family contains a split seen both in a maximum parsimony tree (which ignores gaps) and in the gap pattern near position 85 of the seed alignment. Eukaryotic and most bacterial sequences are longer and contain a region similar to TXQTXXXG. Sequences from Deinococcus radiodurans, Mycobacterium tuberculosis, Streptomyces coelicolor, and the Archaea are 6 amino acids shorter in that region and contain a motif resembling [KR]G"
TIGR01879	14.96968304	2.641943857	0.495994046	5.326563655	1.00E-07	1.04E-05	NA	NA	hydantase	"amidase, hydantoinase/carbamoylase family"	NA	3.5.-.-	Enzymes in this subfamily hydrolize the amide bonds of compounds containing carbamoyl groups or hydantoin rings.
TIGR01099	119.8773823	2.477997172	0.464372491	5.336227318	9.49E-08	1.04E-05	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	galU	UTP--glucose-1-phosphate uridylyltransferase	galU	2.7.7.9	Built to distinquish between the highly similar genes galU and galF
